nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
60,H70A,**COCH2O,,**COHCH2O,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.68,0.44,0.19,0.69,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
61,O69A,**COCHOH,,**COCH2O,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,-0.6,-0.64,-0.84,-0.44,TRUE,6.21E+12,0.19,,,,,,,,,,,,,,,,,
62,H17Ai,*COCHO,,**COCHOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.45,0.31,0.11,0.51,TRUE,6.21E+12,0.78,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
63,H16Bi,**(CO)2,,*COCHO,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,6.21E+12,0.97,0.51,,1000,,0,,1,,0,,0,,1,,0,,0
64,H16Bii,**(CO)2,,**COCHO,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.26,,-0.24,0.76,TRUE,6.21E+12,1.31,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
65,H17Aii,**COCHO,,**COCHOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,-0.54,0.46,FALSE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
66,C03Bi,*CO,*CHO,*COCHO,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,-0.33,-0.33,-0.54,-0.13,FALSE,6.00E+15,0.77,,,,,,,,,,,,,,,,,
67,C03Bii,*CO,*CHO,**COCHO,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,,,-1.55,1.45,FALSE,6.00E+15,1.47,,,,,,,,,,,,,,,,,
68,H51Ai,**OCHCH,,**OCHCH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.1,-0.1,-0.3,0.1,TRUE,6.21E+12,0.748,0.48,,1000,,0,,1,,0,,0,,1,,0,,0
69,H49B,**CHOCHOH,,**OCHCH,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.85,-0.85,-1.05,-0.65,TRUE,6.21E+12,0.924,0.46,,1000,,0,,1,,0,,0,,1,,0,,0
70,H49C,**CHOCHOH,,**CHOCH2OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.5,-0.5,-0.7,-0.3,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
71,H73B,**CHOCH2OH,,*OCHCH2,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.85,-0.85,-1.05,-0.65,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
72,O53A,**OCHCH2,,*OCHCH2,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,-0.42,-0.42,-0.62,-0.22,FALSE,6.21E+12,0.3,,,,,,,,,,,,,,,,,
73,H51Aii,**OCHCH,,*OCHCH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
74,C04A,*CHO,*CHO,**CHOCHO,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,-1.19,-1.19,-1.39,-0.99,TRUE,6.00E+15,0.22,,,,,,,,,,,,,,,,,
75,H48A,**CHOCHO,,**CHOCHOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.35,0.35,-0.15,0.85,FALSE,6.21E+12,0.97,0.47,,1000,,0,,1,,0,,0,,1,,0,,0
76,D45A,**CH2OCH2,,C2H4,*O,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.05,0.05,-0.95,1.05,FALSE,6.00E+15,1.01,,,,,,,,,,,,,,,,,
77,H45B,**CH2OCH2,,**OHCH2CH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,0.18,-0.02,0.38,TRUE,6.21E+12,0.844,0.49,,1000,,0,,1,,0,,0,,1,,0,,0
78,D47A,**OHCH2CH2,,C2H4,*OH,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,-0.65,-0.65,-0.85,-0.45,TRUE,6.00E+15,0.39,,,,,,,,,,,,,,,,,
79,CD35A,*CH2,*CH2,C2H4,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,-1.56,-1.56,-1.76,-1.36,FALSE,6.00E+15,0.46,,,,,,,,,,,,,,,,,
80,H92A,*O,,*OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,6.21E+12,0.3,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
81,HD93A,*OH,,H2O,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,FALSE,6.21E+12,0.3,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
82,H53Aii,*OCHCH2,,**CHOHCH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,0.12,-0.08,0.32,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
83,H54B,**CHOHCH2,,*CH2CH2OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.05,-0.03,-0.23,0.17,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
84,HD47Aii,*CH2CH2OH,,CH3CH2OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.82,-0.82,-1.02,-0.62,FALSE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
85,HD47Ai,**OHCH2CH2,,CH3CH2OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.54,-0.54,-1,0,FALSE,6.21E+12,0.75,0.52,,1000,,0,,1,,0,,0,,1,,0,,0
86,H53Ai,**OCHCH2,,**OHCHCH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.39,0.44,0.24,0.64,TRUE,6.21E+12,0.895,0.49,,1000,,0,,1,,0,,0,,1,,0,,0
87,H54A,**OHCHCH2,,**CHCH2,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.06,0.11,-0.09,0.31,TRUE,6.21E+12,1.099,0.53,,1000,,0,,1,,0,,0,,1,,0,,0
88,HD55A,**CHCH2,,C2H4,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.96,-0.96,-1.16,-0.76,FALSE,6.21E+12,0.495,0.47,,1000,,0,,1,,0,,0,,1,,0,,0
