nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
63,H16Bi,**(CO)2,,*COCHO,,1,1,True,True,True,True,True,0.17999999999999972,,,,False,6210000000000.0,0.97,0.51,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
64,H16Bii,**(CO)2,,**COCHO,,1,1,True,True,True,True,True,0.2599999999999998,,-0.24,0.76,True,6210000000000.0,1.31,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
65,H17Aii,**COCHO,,**COCHOH,,1,1,True,True,True,True,True,0.3699999999999998,,-0.54,0.46,False,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
66,C03Bi,*CO,*CHO,*COCHO,,0,0,True,True,False,False,False,-0.1399999999999999,-0.33,-0.54,-0.13,False,6000000000000000.0,0.77,,,,,,,,,,,,,,,,,
67,C03Bii,*CO,*CHO,**COCHO,,0,0,True,True,False,False,False,-0.05999999999999983,,-1.55,1.45,False,6000000000000000.0,1.47,,,,,,,,,,,,,,,,,
68,H51Ai,**OCHCH,,**OCHCH2,,1,1,True,True,True,True,True,-0.09999999999999987,-0.1,-0.3,0.1,True,6210000000000.0,0.748,0.48,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
69,H49B,**CHOCHOH,,**OCHCH,H2O,1,1,True,True,True,True,True,-0.8500000000000003,-0.85,-1.05,-0.65,True,6210000000000.0,0.924,0.46,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
70,H49C,**CHOCHOH,,**CHOCH2OH,,1,1,True,True,True,True,True,-0.5000000000000004,-0.5,-0.7,-0.3,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
71,H73B,**CHOCH2OH,,*OCHCH2,H2O,1,1,True,True,True,True,True,-0.8500000000000001,-0.85,-1.05,-0.65,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
72,O53A,**OCHCH2,,*OCHCH2,,0,0,True,True,False,False,False,-0.3999999999999999,-0.42,-0.62,-0.22,False,6210000000000.0,0.3,,,,,,,,,,,,,,,,,
73,H51Aii,**OCHCH,,*OCHCH2,,1,1,True,True,True,True,True,-0.4999999999999998,,,,False,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
74,C04A,*CHO,*CHO,**CHOCHO,,0,0,True,True,False,False,False,-1.19,-1.19,-1.39,-0.99,True,6000000000000000.0,0.22,,,,,,,,,,,,,,,,,
75,H48A,**CHOCHO,,**CHOCHOH,,1,1,True,True,True,True,True,0.3500000000000001,0.35,-0.15,0.85,False,6210000000000.0,0.97,0.47,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
76,D45A,**CH2OCH2,,C2H4,*O,0,0,True,True,False,False,False,-0.558,0.05,-0.95,1.05,False,6000000000000000.0,1.01,,,,,,,,,,,,,,,,,
77,H45B,**CH2OCH2,,**OHCH2CH2,,1,1,True,True,True,True,True,0.030000000000000044,0.18,-0.02,0.38,True,6210000000000.0,0.844,0.49,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
